,Date,Store Number,City,Zip Code,County Number,County,Category,Category Name,Vendor Number,Item Number,Item Description,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
235350,02/19/2015,2955,DES MOINES,50310,77.0,Polk,1031080.0,VODKA 80 PROOF,255,37886,Seagrams Vodka,750,$5.38,$8.07,24,$193.68,18.0,4.76
72639,02/24/2016,2502,ANKENY,50021,77.0,Polk,1062310.0,SPICED RUM,259,43991,Admiral Nelson Black Patch,750,$6.96,$10.44,4,$41.76,3.0,0.79
54379,08/27/2015,3713,MASON CITY,50401,17.0,Cerro Gordo,1062310.0,SPICED RUM,260,43336,Captain Morgan Original Spiced,750,$9.00,$13.50,12,$162.00,9.0,2.38
179499,09/21/2015,3488,BELLEVUE,52031,49.0,Jackson,1081200.0,CREAM LIQUEURS,305,73055,Rumchata,750,$12.50,$18.75,12,$225.00,9.0,2.38
148747,02/02/2016,4375,GRIMES,50111,77.0,Polk,1031080.0,VODKA 80 PROOF,434,36304,Hawkeye Vodka,375,$1.86,$2.79,10,$27.90,3.75,0.99
92852,01/05/2016,4070,BELLE PLAINE,52208,6.0,Benton,1031200.0,VODKA FLAVORED,380,41604,Uv Grape Vodka,750,$6.50,$9.75,2,$19.50,1.5,0.4
241330,11/12/2015,2652,MASON CITY,50401,17.0,Cerro Gordo,1031200.0,VODKA FLAVORED,380,42002,Uv Cake Vodka,500,$4.89,$7.34,4,$29.36,2.0,0.53
4851,05/05/2015,2413,DUBUQUE,52001,31.0,Dubuque,1081390.0,IMPORTED SCHNAPPS,260,65066,Goldschlager Cinnamon Schnapps,750,$13.00,$19.50,12,$234.00,9.0,2.38
32871,11/04/2015,2622,IOWA CITY,52240,52.0,Johnson,1032200.0,IMPORTED VODKA - MISC,65,33518,Pinnacle Cucumber,750,$7.88,$11.82,3,$35.46,2.25,0.59
175725,08/18/2015,4510,MALVERN,51551,65.0,Mills,1012100.0,CANADIAN WHISKIES,115,11776,Black Velvet,750,$5.23,$7.85,12,$94.20,9.0,2.38
65669,06/22/2015,2478,ALTOONA,50009,77.0,Polk,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,85,64676,Chambord Liqueur Royale De France,750,$18.56,$27.84,1,$27.84,0.75,0.2
120037,01/28/2015,2568,CEDAR RAPIDS,52402,57.0,Linn,1041100.0,AMERICAN DRY GINS,434,31656,Paramount Gin,750,$3.40,$5.10,12,$61.20,9.0,2.38
114133,04/22/2015,2512,IOWA CITY,52240,52.0,Johnson,1031080.0,VODKA 80 PROOF,434,36308,Hawkeye Vodka,1750,$7.17,$10.76,36,$387.36,63.0,16.64
205800,04/01/2015,4597,DES MOINES,50315,77.0,Polk,1011200.0,STRAIGHT BOURBON WHISKIES,65,19061,Jim Beam Mini,500,$6.83,$10.25,1,$10.25,0.5,0.13
34910,08/12/2015,2502,ANKENY,50021,77.0,Polk,1031200.0,VODKA FLAVORED,394,35527,Bakon Vodka,750,$15.00,$22.50,3,$67.50,2.25,0.59
118706,04/13/2015,4098,WASHINGTON,52353,92.0,Washington,1012100.0,CANADIAN WHISKIES,115,11586,Black Velvet Reserve,750,$7.00,$10.50,12,$126.00,9.0,2.38
15795,01/20/2016,3773,CEDAR RAPIDS,52401,57.0,Linn,1062310.0,SPICED RUM,260,43337,Captain Morgan Spiced Rum,1000,$11.75,$17.63,48,$846.24,48.0,12.68
217249,01/26/2015,3747,SIGOURNEY,52591,54.0,Keokuk,1012100.0,CANADIAN WHISKIES,115,11777,Black Velvet,1000,$6.63,$9.95,6,$59.70,6.0,1.59
196130,02/16/2016,2624,DUBUQUE,52002,31.0,Dubuque,1012200.0,SCOTCH WHISKIES,260,10008,Scoresby Rare Scotch,1750,$10.67,$16.01,6,$96.06,10.5,2.77
226823,10/14/2015,2576,STORM LAKE,50588,11.0,Buena Vista,1041100.0,AMERICAN DRY GINS,434,31658,Paramount Gin,1750,$7.11,$10.67,2,$21.34,3.5,0.92
236188,07/21/2015,3959,DUBUQUE,52001,31.0,Dubuque,1062310.0,SPICED RUM,259,43028,Admiral Nelson Spiced Rum,1750,$11.55,$17.33,6,$103.98,10.5,2.77
132974,06/09/2015,2843,CEDAR RAPIDS,52402,57.0,Linn,1012100.0,CANADIAN WHISKIES,260,11296,Crown Royal,750,$15.00,$22.50,4,$90.00,3.0,0.79
258747,04/30/2015,2561,DES MOINES,50321,77.0,Polk,1031080.0,VODKA 80 PROOF,55,35316,Barton Vodka,750,$3.37,$5.06,12,$60.72,9.0,2.38
99692,01/20/2016,4630,DAVENPORT,52803,82.0,Scott,1081200.0,CREAM LIQUEURS,305,73051,Rumchata Mini,500,$8.87,$13.31,12,$159.72,6.0,1.59
61014,10/13/2015,2602,WEBSTER CITY,50595,40.0,Hamilton,1012100.0,CANADIAN WHISKIES,115,10550,Black Velvet Toasted Caramel,750,$6.75,$10.13,12,$121.56,9.0,2.38
238975,07/08/2015,4118,LAKE VIEW,51450,81.0,Sac,1062310.0,SPICED RUM,240,45887,Sailor Jerry Spiced Navy Rum,1000,$11.78,$17.67,3,$53.01,3.0,0.79
64893,11/03/2015,3626,SPENCER,51301,21.0,Clay,1031200.0,VODKA FLAVORED,260,77858,Smirnoff Whipped Cream,750,$8.25,$12.38,12,$148.56,9.0,2.38
250216,08/31/2015,2648,WEST DES MOINES,50265,77.0,Polk,1011100.0,BLENDED WHISKIES,492,27433,Bird Dog Peach Flavored Whiskey,750,$10.00,$15.00,6,$90.00,4.5,1.19
