You Can Do It,"{'Rating': [86, 66.0, 50.0, 42.0, 42.0, 40.0, 35.0, 46.0, 45.0, 54.0, 73.0, 89.0], 'RatingChange': [-20.0, -16.0, -8.0, 0.0, -2.0, -5.0, 11.0, -1.0, 9.0, 19.0, 16.0]}"
Still In My Heart,"{'Rating': [95, 88.0, 98.0], 'RatingChange': [-7.0, 10.0]}"
Blue (Da Ba Dee),"{'Rating': [67, 29.0, 16.0, 16.0, 13.0, 11.0, 9.0, 6.0, 7.0, 9.0, 13.0, 19.0, 21.0, 24.0, 32.0, 42.0, 56.0, 60.0, 76.0, 88.0], 'RatingChange': [-38.0, -13.0, 0.0, -3.0, -2.0, -2.0, -3.0, 1.0, 2.0, 4.0, 6.0, 2.0, 3.0, 8.0, 10.0, 14.0, 4.0, 16.0, 12.0]}"
That's The Way It Is,"{'Rating': [74, 68.0, 65.0, 49.0, 44.0, 34.0, 30.0, 30.0, 17.0, 14.0, 11.0, 8.0, 9.0, 10.0, 11.0, 11.0, 6.0, 8.0, 7.0, 7.0, 9.0, 10.0, 14.0, 16.0, 26.0, 31.0, 35.0, 42.0], 'RatingChange': [-6.0, -3.0, -16.0, -5.0, -10.0, -4.0, 0.0, -13.0, -3.0, -3.0, -3.0, 1.0, 1.0, 1.0, 0.0, -5.0, 2.0, -1.0, 0.0, 2.0, 1.0, 4.0, 2.0, 10.0, 5.0, 4.0, 7.0]}"
It's Gonna Be Me,"{'Rating': [82, 70.0, 51.0, 39.0, 26.0, 19.0, 15.0, 9.0, 7.0, 7.0, 5.0, 4.0, 1.0, 1.0, 3.0, 4.0, 6.0, 10.0, 13.0, 15.0, 18.0, 23.0, 28.0, 38.0, 48.0], 'RatingChange': [-12.0, -19.0, -12.0, -13.0, -7.0, -4.0, -6.0, -2.0, 0.0, -2.0, -1.0, -3.0, 0.0, 2.0, 1.0, 2.0, 4.0, 3.0, 2.0, 3.0, 5.0, 5.0, 10.0, 10.0]}"
From The Bottom Of My Broken Heart,"{'Rating': [76, 59.0, 52.0, 52.0, 14.0, 14.0, 17.0, 24.0, 33.0, 35.0, 41.0, 45.0, 54.0, 64.0, 64.0, 81.0, 97.0, 92.0, 86.0, 90.0], 'RatingChange': [-17.0, -7.0, 0.0, -38.0, 0.0, 3.0, 7.0, 9.0, 2.0, 6.0, 4.0, 9.0, 10.0, 0.0, 17.0, 16.0, -5.0, -6.0, 4.0]}"
I Think God Can Explain,"{'Rating': [71, 66.0, 62.0, 62.0, 62.0, 64.0, 65.0, 71.0, 81.0, 89.0, 95.0, 100.0], 'RatingChange': [-5.0, -4.0, 0.0, 0.0, 2.0, 1.0, 6.0, 10.0, 8.0, 6.0, 5.0]}"
Spanish Guitar,"{'Rating': [98, 98.0, 98.0], 'RatingChange': [0.0, 0.0]}"
I Don't Wanna,"{'Rating': [84, 62.0, 51.0, 41.0, 38.0, 35.0, 35.0, 38.0, 38.0, 36.0, 37.0, 37.0, 38.0, 49.0, 61.0, 63.0, 62.0, 67.0, 83.0, 86.0], 'RatingChange': [-22.0, -11.0, -10.0, -3.0, -3.0, 0.0, 3.0, 0.0, -2.0, 1.0, 0.0, 1.0, 11.0, 12.0, 2.0, -1.0, 5.0, 16.0, 3.0]}"
If I Am,"{'Rating': [68, 68.0, 81.0, 94.0, 100.0], 'RatingChange': [0.0, 13.0, 13.0, 6.0]}"
Say My Name,"{'Rating': [83, 83.0, 44.0, 38.0, 16.0, 13.0, 16.0, 16.0, 16.0, 18.0, 17.0, 14.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 5.0, 5.0, 5.0, 7.0, 10.0, 13.0, 14.0, 18.0, 23.0, 23.0, 34.0, 37.0, 43.0, 47.0], 'RatingChange': [0.0, -39.0, -6.0, -22.0, -3.0, 3.0, 0.0, 0.0, 2.0, -1.0, -3.0, -13.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 2.0, 3.0, 3.0, 1.0, 4.0, 5.0, 0.0, 11.0, 3.0, 6.0, 4.0]}"
Stay The Night,"{'Rating': [84, 61.0, 45.0, 43.0, 40.0, 38.0, 36.0, 31.0, 34.0, 34.0, 40.0, 36.0, 36.0, 23.0, 41.0, 62.0, 70.0, 71.0, 79.0, 78.0], 'RatingChange': [-23.0, -16.0, -2.0, -3.0, -2.0, -2.0, -5.0, 3.0, 0.0, 6.0, -4.0, 0.0, -13.0, 18.0, 21.0, 8.0, 1.0, 8.0, -1.0]}"
Wonderful,"{'Rating': [77, 69.0, 53.0, 37.0, 33.0, 25.0, 24.0, 23.0, 22.0, 25.0, 28.0, 25.0, 11.0, 13.0, 13.0, 11.0, 18.0, 28.0, 36.0, 39.0, 45.0], 'RatingChange': [-8.0, -16.0, -16.0, -4.0, -8.0, -1.0, -1.0, -1.0, 3.0, 3.0, -3.0, -14.0, 2.0, 0.0, -2.0, 7.0, 10.0, 8.0, 3.0, 6.0]}"
Let's Get Married,"{'Rating': [77, 66.0, 55.0, 45.0, 38.0, 42.0, 33.0, 29.0, 28.0, 26.0, 23.0, 15.0, 11.0, 14.0, 14.0, 17.0, 20.0, 20.0, 21.0, 23.0, 24.0, 29.0, 36.0, 47.0], 'RatingChange': [-11.0, -11.0, -10.0, -7.0, 4.0, -9.0, -4.0, -1.0, -2.0, -3.0, -8.0, -4.0, 3.0, 0.0, 3.0, 3.0, 0.0, 1.0, 2.0, 1.0, 5.0, 7.0, 11.0]}"
That's What I'm Looking For,"{'Rating': [93, 73.0, 60.0, 60.0, 60.0, 60.0, 63.0, 56.0, 58.0, 70.0, 71.0, 72.0, 90.0, 94.0, 94.0, 94.0, 94.0, 100.0], 'RatingChange': [-20.0, -13.0, 0.0, 0.0, 0.0, 3.0, -7.0, 2.0, 12.0, 1.0, 1.0, 18.0, 4.0, 0.0, 0.0, 0.0, 6.0]}"
Goodbye Earl,"{'Rating': [40, 29.0, 24.0, 24.0, 20.0, 20.0, 20.0, 19.0, 38.0, 61.0, 86.0, 88.0, 96.0, 96.0, 98.0], 'RatingChange': [-11.0, -5.0, 0.0, -4.0, 0.0, 0.0, -1.0, 19.0, 23.0, 25.0, 2.0, 8.0, 0.0, 2.0]}"
Cowboy Take Me Away,"{'Rating': [79, 72.0, 70.0, 61.0, 52.0, 52.0, 52.0, 39.0, 31.0, 27.0, 27.0, 27.0, 31.0, 37.0, 40.0, 47.0, 51.0, 56.0, 59.0, 59.0], 'RatingChange': [-7.0, -2.0, -9.0, -9.0, 0.0, 0.0, -13.0, -8.0, -4.0, 0.0, 0.0, 4.0, 6.0, 3.0, 7.0, 4.0, 5.0, 3.0, 0.0]}"
