,Track,Weeks in Top 10
34,Everything You Want,19
11,Breathe,19
40,"Maria, Maria",18
31,Kryptonite,18
9,With Arms Wide Open,18
7,I Knew I Loved You,17
13,My Love Is Your Love,17
25,Independent Women Part I,17
24,I Wanna Know,16
15,Jumpin' Jumpin',16
26,Try Again,15
14,Bent,14
33,Incomplete,13
30,Thong Song,13
12,Case Of The Ex (Whatcha Gonna Do),13
35,Get It On.. Tonite,12
29,Doesn't Really Matter,12
39,Bye Bye Bye,12
20,Amazed,12
6,Music,12
37,He Loves U Not,11
4,Say My Name,11
1,It's Gonna Be Me,11
8,Hot Boyz,10
5,Be With You,10
28,This I Promise You,9
0,That's The Way It Is,9
16,I Try,9
17,Most Girls,9
18,Gotta Tell You,9
22,Bring It All To Me,9
3,Show Me The Meaning Of Being Lonely,8
38,Come On Over Baby (All I Want Is You),8
27,The Real Slim Shady,7
32,He Wasn't Man Enough,7
36,There U Go,7
21,Absolutely (Story Of A Girl),7
2,What A Girl Wants,7
10,Higher,6
23,You Sang To Me,6
19,No More,6
